yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir,date
2015,7,11,1,15,70,13.4,-999,3.03486,-32.4707,0.196738,0.148877,308.559,2015-07-11
2015,7,11,1,45,70,13.4,-999,1.88428,16.4831,0.191946,0.0826759,311.776,2015-07-11
2015,7,11,2,15,70,13.4,-999,3.15196,-39.2501,0.484927,0.251897,295.239,2015-07-11
2015,7,11,2,45,70,13.4,-999,3.4749,24.6264,0.093056,0.0659511,270.648,2015-07-11
2015,7,11,3,15,70,13.4,-999,3.87902,82.8903,0.167325,0.148722,279.485,2015-07-11
2015,7,11,3,45,70,13.4,-999,2.28028,-328.09,0.140381,0.236566,286.222,2015-07-11
2015,7,11,4,15,70,13.4,-999,1.62009,-110.091,0.22697,0.278479,286.14,2015-07-11
2015,7,11,4,45,70,13.4,-999,2.08925,49.2949,0.226042,0.234833,265.574,2015-07-11
2015,7,11,5,15,70,13.4,-999,1.74558,257.37,0.216487,0.409092,261.131,2015-07-11
2015,7,11,5,45,70,13.4,-999,2.01672,-66.1447,0.293052,0.405179,264.471,2015-07-11
2015,7,11,6,15,70,13.4,-999,1.82514,-42.4657,0.641343,0.29341,288.814,2015-07-11
2015,7,11,6,45,70,13.4,-999,2.19066,-23.0711,1.92089,0.25593,296.646,2015-07-11
2015,7,11,7,15,70,13.4,-999,3.13583,-282.475,1.62847,0.706395,348.265,2015-07-11
2015,7,11,7,45,70,13.4,-999,5.23611,-474.107,0.758862,0.676196,336.715,2015-07-11
2015,7,11,8,15,70,13.4,-999,2.89362,-95.2152,1.32509,0.660648,332.46,2015-07-11
2015,7,11,8,45,70,13.4,-999,4.48944,-102.489,1.74217,0.550776,322.343,2015-07-11
2015,7,11,9,15,70,13.4,-999,4.84161,-190.621,2.72663,0.863525,343.246,2015-07-11
2015,7,11,9,45,70,13.4,-999,5.32211,-149.83,2.53673,0.706077,349.421,2015-07-11
2015,7,11,10,15,70,13.4,-999,5.20798,-170.636,1.66726,0.785567,352.586,2015-07-11
2015,7,11,10,45,70,13.4,-999,4.53462,-184.328,1.15594,0.578537,358.934,2015-07-11
2015,7,11,11,15,70,13.4,-999,4.03082,-325.622,2.18646,0.79612,354.854,2015-07-11
2015,7,11,11,45,70,13.4,-999,6.44986,-561.804,2.39539,0.962266,358.405,2015-07-11
2015,7,11,12,15,70,13.4,-999,3.73735,-67.1493,2.07296,0.487003,302.7,2015-07-11
2015,7,11,12,45,70,13.4,-999,5.08333,446.743,2.05417,0.73699,338.538,2015-07-11
2015,7,11,13,15,70,13.4,-999,5.42637,-3263.41,1.30319,0.595054,345.01,2015-07-11
2015,7,11,13,45,70,13.4,-999,6.67186,-1115.55,1.97548,1.02294,350.106,2015-07-11
2015,7,11,14,15,70,13.4,-999,6.70424,-474.657,2.72485,0.997407,353.138,2015-07-11
2015,7,11,14,45,70,13.4,-999,7.33037,-798.675,2.34668,0.937916,347.023,2015-07-11
2015,7,11,15,15,70,13.4,-999,7.53299,-1032.33,3.51317,1.18244,347.164,2015-07-11
2015,7,11,15,45,70,13.4,-999,7.48151,-917.833,2.55537,0.946731,341.703,2015-07-11
2015,7,11,16,15,70,13.4,-999,5.62055,-1515.19,1.60225,0.736065,323.275,2015-07-11
2015,7,11,16,45,70,13.4,-999,4.27271,2710.2,0.797067,0.579528,322.772,2015-07-11
2015,7,11,17,15,70,13.4,-999,4.24601,629.663,0.839729,0.461801,343.386,2015-07-11
2015,7,11,17,45,70,13.4,-999,3.12396,1004.3,0.540897,0.535574,334.642,2015-07-11
2015,7,11,18,15,70,13.4,-999,3.83861,305.522,0.591307,0.399412,338.606,2015-07-11
2015,7,11,18,45,70,13.4,-999,3.64717,109.369,0.458247,0.258512,333.21,2015-07-11
2015,7,11,19,15,70,13.4,-999,3.33075,56.9457,0.140128,0.140882,300.23,2015-07-11
2015,7,11,19,45,70,13.4,-999,3.68964,89.5473,0.221059,0.251862,298.428,2015-07-11
2015,7,11,20,15,70,13.4,-999,4.52319,86.5229,0.372106,0.258864,302.007,2015-07-11
2015,7,11,20,45,70,13.4,-999,4.78988,58.112,0.400502,0.258075,310.384,2015-07-11
2015,7,11,21,15,70,13.4,-999,4.65545,52.6132,0.266982,0.225201,310.653,2015-07-11
2015,7,11,21,45,70,13.4,-999,4.42486,122.746,0.393241,0.309751,310.838,2015-07-11
2015,7,11,22,15,70,13.4,-999,4.54904,83.0702,0.306778,0.259153,310.725,2015-07-11
2015,7,11,22,45,70,13.4,-999,3.93236,61.9621,0.732109,0.211053,297.953,2015-07-11
2015,7,11,23,15,70,13.4,-999,4.778,41.3333,0.182343,0.210353,294.131,2015-07-11
2015,7,11,23,45,70,13.4,-999,4.73107,32.3263,0.19844,0.194095,295.729,2015-07-11
2015,7,12,0,15,70,13.4,-999,4.5821,34.8398,0.328559,0.209946,305.394,2015-07-12
2015,7,12,0,45,70,13.4,-999,4.06437,-70.2056,0.403248,0.145715,301.998,2015-07-12
2015,7,12,1,15,70,13.4,-999,4.37319,15.0962,0.267512,0.120714,287.634,2015-07-12
2015,7,12,1,45,70,13.4,-999,4.25777,34.0147,0.246127,0.131895,282.417,2015-07-12
2015,7,12,2,15,70,13.4,-999,4.03614,88.3819,0.391846,0.194723,263.466,2015-07-12
2015,7,12,2,45,70,13.4,-999,3.59672,22.6352,0.500001,0.176192,253.978,2015-07-12
2015,7,12,3,15,70,13.4,-999,3.72579,85.7916,0.292887,0.288944,251.541,2015-07-12
2015,7,12,3,45,70,13.4,-999,3.17114,119.015,0.227675,0.283596,246.675,2015-07-12
2015,7,12,4,15,70,13.4,-999,3.12878,226.136,0.301071,0.312541,256.643,2015-07-12
2015,7,12,4,45,70,13.4,-999,3.34509,984.871,0.438065,0.383356,257.652,2015-07-12
2015,7,12,5,15,70,13.4,-999,3.91375,-7687.24,0.61468,0.52868,256.62,2015-07-12
2015,7,12,5,45,70,13.4,-999,3.72388,2000.23,0.61052,0.448725,262.227,2015-07-12
2015,7,12,6,15,70,13.4,-999,3.67922,-731.405,0.520201,0.422133,259.308,2015-07-12
2015,7,12,6,45,70,13.4,-999,3.76996,-996.795,0.538204,0.480686,262.573,2015-07-12
2015,7,12,7,15,70,13.4,-999,4.56071,-445.039,0.879743,0.641117,267.605,2015-07-12
2015,7,12,7,45,70,13.4,-999,4.84408,-339.841,2.04754,0.910016,269.859,2015-07-12
2015,7,12,8,15,70,13.4,-999,5.56064,-780.035,1.97309,0.94085,272.434,2015-07-12
2015,7,12,8,45,70,13.4,-999,5.62712,-523.587,1.56004,0.777346,278.985,2015-07-12
2015,7,12,9,15,70,13.4,-999,6.12359,-605.119,5.65797,0.948286,358.203,2015-07-12
2015,7,12,9,45,70,13.4,-999,3.06524,-204.937,1.45954,0.484964,343.511,2015-07-12
2015,7,12,10,15,70,13.4,-999,1.47742,668.746,0.477399,0.434436,359.402,2015-07-12
2015,7,12,10,45,70,13.4,-999,2.43655,-288.505,0.693009,0.275855,314.694,2015-07-12
2015,7,12,11,15,70,13.4,-999,2.60455,-1534.28,0.535095,0.525085,329.841,2015-07-12
2015,7,12,11,45,70,13.4,-999,4.218,-2949.69,0.970068,0.613692,339.3,2015-07-12
2015,7,12,12,15,70,13.4,-999,4.02707,-1182.09,0.742897,0.621315,351.065,2015-07-12
2015,7,12,12,45,70,13.4,-999,4.24311,7567.82,0.55317,0.481231,345.784,2015-07-12
2015,7,12,13,15,70,13.4,-999,3.38743,-593.349,0.653791,0.54199,348.107,2015-07-12
2015,7,12,13,45,70,13.4,-999,2.83814,-424.426,0.743729,0.494988,353.346,2015-07-12
2015,7,12,14,15,70,13.4,-999,3.87517,3106.53,0.568787,0.644279,351.713,2015-07-12
2015,7,12,14,45,70,13.4,-999,4.45069,810.292,1.12546,0.562253,348.868,2015-07-12
2015,7,12,15,15,70,13.4,-999,4.06413,-10993.8,0.879243,0.58884,341.831,2015-07-12
2015,7,12,15,45,70,13.4,-999,4.49117,423.086,0.864405,0.440754,339.13,2015-07-12
2015,7,12,16,15,70,13.4,-999,4.67451,521.218,0.686912,0.559531,340.352,2015-07-12
2015,7,12,16,45,70,13.4,-999,3.72615,112.569,0.358601,0.221655,327.913,2015-07-12
2015,7,12,17,15,70,13.4,-999,3.83851,90.7556,0.194532,0.242337,324.983,2015-07-12
2015,7,12,17,45,70,13.4,-999,3.11907,63.6472,0.251658,0.180019,315.487,2015-07-12
2015,7,12,18,15,70,13.4,-999,3.665,68.5816,0.152098,0.173696,306.97,2015-07-12
2015,7,12,18,45,70,13.4,-999,3.75758,21.7519,0.261057,0.144531,303.278,2015-07-12
2015,7,12,19,15,70,13.4,-999,3.74904,68.3412,0.393689,0.242367,311.113,2015-07-12
2015,7,12,19,45,70,13.4,-999,3.67295,98.0022,0.203043,0.194463,318.573,2015-07-12
2015,7,12,20,15,70,13.4,-999,3.25789,70.6915,0.232313,0.18159,312.287,2015-07-12
2015,7,12,20,45,70,13.4,-999,3.31205,132.97,0.165883,0.201749,305.671,2015-07-12
2015,7,12,21,15,70,13.4,-999,4.0367,27.8055,0.174022,0.156276,312.767,2015-07-12
2015,7,12,21,45,70,13.4,-999,2.60149,128.491,1.61143,0.307931,11.0339,2015-07-12
2015,7,12,22,15,70,13.4,-999,1.83529,58.5516,0.466014,0.242319,326.857,2015-07-12
2015,7,12,22,45,70,13.4,-999,1.13706,89.868,0.235844,0.264982,304.35,2015-07-12
